ID, TIME, X, Y, Z
1, 3.428818, 0.095771, -0.366597, 0.014496
1, 3.446372, 0.092101, -0.366118, 0.019567
1, 3.464088, 0.085736, -0.366923, 0.023338
1, 3.481406, 0.084564, -0.365726, 0.027663
1, 3.499729, 0.088061, -0.364088, 0.021214
1, 3.517978, 0.084921, -0.364796, 0.017236
1, 3.536112, 0.083744, -0.363571, 0.019901
1, 3.553858, 0.085779, -0.362183, 0.020647
1, 3.571917, 0.083183, -0.361702, 0.022411
1, 3.589715, 0.083848, -0.360380, 0.024386
1, 3.606965, 0.090921, -0.355907, 0.027265
1, 3.624107, 0.089421, -0.354881, 0.030743
1, 3.641707, 0.078781, -0.357708, 0.028272
1, 3.659146, 0.083610, -0.356435, 0.025929
1, 3.676712, 0.077816, -0.358113, 0.026300
1, 3.694386, 0.077913, -0.358728, 0.023819
1, 3.712514, 0.074806, -0.360137, 0.021548
1, 3.730625, 0.061922, -0.362791, 0.012705
1, 3.748714, 0.054710, -0.365086, 0.015634
1, 3.767457, 0.039314, -0.366852, 0.005244
1, 3.786760, 0.033605, -0.368238, -0.001256
1, 3.805640, 0.026690, -0.369648, -0.006422
1, 3.823353, 0.036050, -0.368991, -0.002580
1, 3.840859, 0.019929, -0.369993, 0.004210
1, 3.858213, 0.014876, -0.369877, -0.010110
1, 3.875719, 0.007599, -0.371985, -0.006553
1, 3.893478, 0.002638, -0.373030, -0.011842
1, 3.910723, -0.004854, -0.374305, -0.009581
1, 3.928668, -0.005875, -0.375910, -0.012750
1, 3.946417, -0.006829, -0.376413, -0.009943
1, 3.965711, -0.002916, -0.376245, -0.015647
1, 3.985331, 0.000064, -0.376459, -0.011343
1, 4.003475, -0.002602, -0.376752, -0.009572
1, 4.021444, -0.006162, -0.376254, -0.017116
1, 4.039193, -0.009727, -0.376101, -0.022753
1, 4.058208, -0.013457, -0.375913, -0.025728
1, 4.076395, -0.007665, -0.376457, -0.022433
1, 4.094259, -0.007142, -0.376266, -0.028966
1, 4.112039, -0.013640, -0.376785, -0.027583
1, 4.130941, -0.013993, -0.376798, -0.028487
1, 4.150911, -0.013556, -0.376553, -0.029774
1, 4.171339, -0.018731, -0.375823, -0.028442
1, 4.192042, -0.022214, -0.375070, -0.027778
1, 4.212722, -0.020926, -0.374814, -0.024286
1, 4.233093, -0.026930, -0.372792, -0.024947
1, 4.253181, -0.030953, -0.371044, -0.028403
1, 4.272507, -0.038011, -0.368312, -0.024954
1, 4.290861, -0.041955, -0.366324, -0.024333
1, 4.308555, -0.043433, -0.365216, -0.021103
1, 4.326069, -0.047723, -0.362085, -0.023213
1, 4.343825, -0.048583, -0.359800, -0.024454
1, 4.362593, -0.050327, -0.357307, -0.022020
1, 4.381298, -0.050298, -0.355219, -0.017954
1, 4.401153, -0.050427, -0.352659, -0.014168
1, 4.420625, -0.054006, -0.348966, -0.011250
1, 4.438546, -0.053017, -0.345435, -0.009502
1, 4.456602, -0.053517, -0.341670, -0.009119
1, 4.474636, -0.051129, -0.338548, -0.009114
1, 4.492508, -0.049007, -0.335258, -0.006326
1, 4.509796, -0.047954, -0.331543, -0.005599
1, 4.527301, -0.044759, -0.328497, -0.002650
1, 4.544812, -0.044336, -0.324272, 0.002380
1, 4.562682, -0.045960, -0.319923, -0.000032
1, 4.580210, -0.049650, -0.314745, 0.001770
1, 4.598433, -0.045499, -0.311840, 0.001927
1, 4.617273, -0.044353, -0.307930, 0.004002
1, 4.635320, -0.044319, -0.304021, 0.004070
1, 4.654094, -0.047078, -0.298837, 0.003739
1, 4.671947, -0.045359, -0.294670, 0.006188
1, 4.689614, -0.042561, -0.290967, 0.004295
1, 4.706931, -0.043770, -0.286600, 0.005354
1, 4.724405, -0.037370, -0.283704, 0.004559
1, 4.741519, -0.035164, -0.280389, 0.002768
1, 4.758717, -0.032910, -0.277253, 0.002745
1, 4.775374, -0.034335, -0.273663, 0.001466
1, 4.793894, -0.032629, -0.270751, 0.004221
1, 4.811363, -0.030642, -0.268031, 0.003182
1, 4.828437, -0.029360, -0.265309, 0.002008
1, 4.845483, -0.025922, -0.262874, 0.000934
1, 4.862858, -0.023874, -0.260440, 0.002363
1, 4.880430, -0.022765, -0.257995, -0.000512
1, 4.898581, -0.019977, -0.256102, 0.000681
1, 4.916732, -0.018609, -0.254292, -0.001906
1, 4.934075, -0.017834, -0.252367, -0.001431
1, 4.951534, -0.013263, -0.250995, -0.002093
1, 4.970002, -0.011981, -0.249648, -0.005657
1, 4.988036, -0.010978, -0.248077, -0.010736
1, 5.005977, -0.008603, -0.247646, -0.009212
1, 5.023789, -0.005459, -0.246830, -0.012398
1, 5.041473, -0.004192, -0.246044, -0.015524
1, 5.058851, -0.001224, -0.246128, -0.014752
1, 5.075670, 0.001425, -0.246140, -0.015820
1, 5.092770, 0.003134, -0.246595, -0.015601
1, 5.109763, 0.004890, -0.246651, -0.019484
1, 5.126651, 0.005786, -0.247229, -0.021994
1, 5.143548, 0.007409, -0.247563, -0.025106
1, 5.160588, 0.011674, -0.247890, -0.027052
1, 5.177610, 0.014606, -0.249192, -0.025097
1, 5.194644, 0.015511, -0.249969, -0.028101
1, 5.211593, 0.014686, -0.250727, -0.031922
1, 5.228736, 0.014452, -0.252445, -0.032663
1, 5.245545, 0.014275, -0.254389, -0.032175
1, 5.262545, 0.013499, -0.256479, -0.030743
1, 5.279682, 0.013793, -0.258631, -0.030539
1, 5.296942, 0.013992, -0.260973, -0.030688
1, 5.313852, 0.017950, -0.262749, -0.030422
1, 5.330858, 0.021037, -0.264788, -0.030700
1, 5.348235, 0.021462, -0.267328, -0.031135
1, 5.365446, 0.020012, -0.269583, -0.033454
1, 5.383465, 0.019616, -0.271881, -0.035186
1, 5.401053, 0.019006, -0.274415, -0.034433
1, 5.418264, 0.018820, -0.276482, -0.033500
1, 5.436470, 0.018071, -0.278196, -0.034770
1, 5.453716, 0.019727, -0.280510, -0.030816
1, 5.471645, 0.020330, -0.283208, -0.023106
1, 5.489547, 0.015927, -0.285486, -0.022028
1, 5.506407, 0.016537, -0.287608, -0.017777
1, 5.524141, 0.016439, -0.289262, -0.019629
1, 5.542197, 0.008431, -0.290837, -0.018727
1, 5.559500, 0.010904, -0.292836, -0.016767
1, 5.577618, 0.010593, -0.294998, -0.014106
